Date,DishID,Vegetarian,Price,QuantitySold,DayOfWeek,Occasion
14-01-2022,1,No,100,27,Friday,Makar Sankranti / Pongal
14-01-2022,2,Yes,150,4,Friday,Makar Sankranti / Pongal
14-01-2022,3,No,200,1,Friday,Makar Sankranti / Pongal
14-01-2022,4,Yes,250,26,Friday,Makar Sankranti / Pongal
14-01-2022,5,No,300,5,Friday,Makar Sankranti / Pongal
14-01-2022,6,Yes,350,11,Friday,Makar Sankranti / Pongal
14-01-2022,7,No,400,18,Friday,Makar Sankranti / Pongal
14-01-2022,8,Yes,450,22,Friday,Makar Sankranti / Pongal
14-01-2022,9,No,500,5,Friday,Makar Sankranti / Pongal
14-01-2022,10,Yes,550,18,Friday,Makar Sankranti / Pongal
15-01-2022,1,No,100,28,Saturday,None
15-01-2022,2,Yes,150,28,Saturday,None
15-01-2022,3,No,200,8,Saturday,None
15-01-2022,4,Yes,250,20,Saturday,None
15-01-2022,5,No,300,1,Saturday,None
15-01-2022,6,Yes,350,6,Saturday,None
15-01-2022,7,No,400,27,Saturday,None
15-01-2022,8,Yes,450,2,Saturday,None
15-01-2022,9,No,500,16,Saturday,None
15-01-2022,10,Yes,550,29,Saturday,None
16-01-2022,1,No,100,18,Sunday,None
16-01-2022,2,Yes,150,15,Sunday,None
16-01-2022,3,No,200,18,Sunday,None
16-01-2022,4,Yes,250,14,Sunday,None
16-01-2022,5,No,300,26,Sunday,None
16-01-2022,6,Yes,350,9,Sunday,None
16-01-2022,7,No,400,13,Sunday,None
16-01-2022,8,Yes,450,11,Sunday,None
16-01-2022,9,No,500,14,Sunday,None
16-01-2022,10,Yes,550,11,Sunday,None
17-01-2022,1,No,100,29,Monday,None
17-01-2022,2,Yes,150,22,Monday,None
17-01-2022,3,No,200,6,Monday,None
17-01-2022,4,Yes,250,18,Monday,None
17-01-2022,5,No,300,7,Monday,None
17-01-2022,6,Yes,350,23,Monday,None
17-01-2022,7,No,400,12,Monday,None
17-01-2022,8,Yes,450,22,Monday,None
17-01-2022,9,No,500,17,Monday,None
17-01-2022,10,Yes,550,22,Monday,None
18-01-2022,1,No,100,7,Tuesday,None
18-01-2022,2,Yes,150,21,Tuesday,None
18-01-2022,3,No,200,5,Tuesday,None
18-01-2022,4,Yes,250,28,Tuesday,None
18-01-2022,5,No,300,13,Tuesday,None
18-01-2022,6,Yes,350,2,Tuesday,None
18-01-2022,7,No,400,23,Tuesday,None
18-01-2022,8,Yes,450,5,Tuesday,None
18-01-2022,9,No,500,12,Tuesday,None
18-01-2022,10,Yes,550,7,Tuesday,None
19-01-2022,1,No,100,29,Wednesday,None
19-01-2022,2,Yes,150,7,Wednesday,None
19-01-2022,3,No,200,17,Wednesday,None
19-01-2022,4,Yes,250,14,Wednesday,None
19-01-2022,5,No,300,25,Wednesday,None
19-01-2022,6,Yes,350,20,Wednesday,None
19-01-2022,7,No,400,21,Wednesday,None
19-01-2022,8,Yes,450,1,Wednesday,None
19-01-2022,9,No,500,8,Wednesday,None
19-01-2022,10,Yes,550,13,Wednesday,None
20-01-2022,1,No,100,4,Thursday,None
20-01-2022,2,Yes,150,18,Thursday,None
20-01-2022,3,No,200,28,Thursday,None
20-01-2022,4,Yes,250,21,Thursday,None
20-01-2022,5,No,300,20,Thursday,None
20-01-2022,6,Yes,350,7,Thursday,None
20-01-2022,7,No,400,17,Thursday,None
20-01-2022,8,Yes,450,27,Thursday,None
20-01-2022,9,No,500,18,Thursday,None
20-01-2022,10,Yes,550,25,Thursday,None
21-01-2022,1,No,100,5,Friday,None
21-01-2022,2,Yes,150,10,Friday,None
21-01-2022,3,No,200,20,Friday,None
21-01-2022,4,Yes,250,11,Friday,None
21-01-2022,5,No,300,2,Friday,None
21-01-2022,6,Yes,350,1,Friday,None
21-01-2022,7,No,400,11,Friday,None
21-01-2022,8,Yes,450,1,Friday,None
21-01-2022,9,No,500,29,Friday,None
21-01-2022,10,Yes,550,4,Friday,None
22-01-2022,1,No,100,25,Saturday,None
22-01-2022,2,Yes,150,21,Saturday,None
22-01-2022,3,No,200,14,Saturday,None
22-01-2022,4,Yes,250,27,Saturday,None
22-01-2022,5,No,300,14,Saturday,None
22-01-2022,6,Yes,350,27,Saturday,None
22-01-2022,7,No,400,5,Saturday,None
22-01-2022,8,Yes,450,4,Saturday,None
22-01-2022,9,No,500,0,Saturday,None
22-01-2022,10,Yes,550,19,Saturday,None
23-01-2022,1,No,100,17,Sunday,None
23-01-2022,2,Yes,150,17,Sunday,None
23-01-2022,3,No,200,14,Sunday,None
23-01-2022,4,Yes,250,24,Sunday,None
23-01-2022,5,No,300,16,Sunday,None
23-01-2022,6,Yes,350,2,Sunday,None
23-01-2022,7,No,400,16,Sunday,None
23-01-2022,8,Yes,450,13,Sunday,None
23-01-2022,9,No,500,6,Sunday,None
23-01-2022,10,Yes,550,21,Sunday,None
24-01-2022,1,No,100,13,Monday,None
24-01-2022,2,Yes,150,0,Monday,None
24-01-2022,3,No,200,25,Monday,None
24-01-2022,4,Yes,250,28,Monday,None
24-01-2022,5,No,300,24,Monday,None
24-01-2022,6,Yes,350,24,Monday,None
24-01-2022,7,No,400,29,Monday,None
24-01-2022,8,Yes,450,8,Monday,None
24-01-2022,9,No,500,17,Monday,None
24-01-2022,10,Yes,550,11,Monday,None
25-01-2022,1,No,100,13,Tuesday,None
25-01-2022,2,Yes,150,10,Tuesday,None
25-01-2022,3,No,200,20,Tuesday,None
25-01-2022,4,Yes,250,25,Tuesday,None
25-01-2022,5,No,300,12,Tuesday,None
25-01-2022,6,Yes,350,27,Tuesday,None
25-01-2022,7,No,400,2,Tuesday,None
25-01-2022,8,Yes,450,13,Tuesday,None
25-01-2022,9,No,500,5,Tuesday,None
25-01-2022,10,Yes,550,28,Tuesday,None
26-01-2022,1,No,100,14,Wednesday,Republic Day
26-01-2022,2,Yes,150,14,Wednesday,Republic Day
26-01-2022,3,No,200,17,Wednesday,Republic Day
26-01-2022,4,Yes,250,22,Wednesday,Republic Day
26-01-2022,5,No,300,1,Wednesday,Republic Day
26-01-2022,6,Yes,350,25,Wednesday,Republic Day
26-01-2022,7,No,400,0,Wednesday,Republic Day
26-01-2022,8,Yes,450,2,Wednesday,Republic Day
26-01-2022,9,No,500,23,Wednesday,Republic Day
26-01-2022,10,Yes,550,26,Wednesday,Republic Day
27-01-2022,1,No,100,21,Thursday,None
27-01-2022,2,Yes,150,28,Thursday,None
27-01-2022,3,No,200,20,Thursday,None
27-01-2022,4,Yes,250,14,Thursday,None
27-01-2022,5,No,300,25,Thursday,None
27-01-2022,6,Yes,350,27,Thursday,None
27-01-2022,7,No,400,4,Thursday,None
27-01-2022,8,Yes,450,13,Thursday,None
27-01-2022,9,No,500,0,Thursday,None
27-01-2022,10,Yes,550,4,Thursday,None
28-01-2022,1,No,100,22,Friday,None
28-01-2022,2,Yes,150,13,Friday,None
28-01-2022,3,No,200,3,Friday,None
28-01-2022,4,Yes,250,9,Friday,None
28-01-2022,5,No,300,10,Friday,None
28-01-2022,6,Yes,350,1,Friday,None
28-01-2022,7,No,400,18,Friday,None
28-01-2022,8,Yes,450,1,Friday,None
28-01-2022,9,No,500,20,Friday,None
28-01-2022,10,Yes,550,28,Friday,None
29-01-2022,1,No,100,1,Saturday,None
29-01-2022,2,Yes,150,5,Saturday,None
29-01-2022,3,No,200,18,Saturday,None
29-01-2022,4,Yes,250,10,Saturday,None
29-01-2022,5,No,300,10,Saturday,None
29-01-2022,6,Yes,350,4,Saturday,None
29-01-2022,7,No,400,10,Saturday,None
29-01-2022,8,Yes,450,16,Saturday,None
29-01-2022,9,No,500,10,Saturday,None
29-01-2022,10,Yes,550,8,Saturday,None
30-01-2022,1,No,100,13,Sunday,None
30-01-2022,2,Yes,150,6,Sunday,None
30-01-2022,3,No,200,1,Sunday,None
30-01-2022,4,Yes,250,23,Sunday,None
30-01-2022,5,No,300,27,Sunday,None
30-01-2022,6,Yes,350,7,Sunday,None
30-01-2022,7,No,400,25,Sunday,None
30-01-2022,8,Yes,450,16,Sunday,None
30-01-2022,9,No,500,25,Sunday,None
30-01-2022,10,Yes,550,7,Sunday,None
31-01-2022,1,No,100,7,Monday,None
31-01-2022,2,Yes,150,20,Monday,None
31-01-2022,3,No,200,13,Monday,None
31-01-2022,4,Yes,250,26,Monday,None
31-01-2022,5,No,300,8,Monday,None
31-01-2022,6,Yes,350,1,Monday,None
31-01-2022,7,No,400,16,Monday,None
31-01-2022,8,Yes,450,23,Monday,None
31-01-2022,9,No,500,25,Monday,None
31-01-2022,10,Yes,550,20,Monday,None
01-02-2022,1,No,100,21,Tuesday,None
01-02-2022,2,Yes,150,15,Tuesday,None
01-02-2022,3,No,200,10,Tuesday,None
01-02-2022,4,Yes,250,16,Tuesday,None
01-02-2022,5,No,300,29,Tuesday,None
01-02-2022,6,Yes,350,0,Tuesday,None
01-02-2022,7,No,400,4,Tuesday,None
01-02-2022,8,Yes,450,3,Tuesday,None
01-02-2022,9,No,500,25,Tuesday,None
01-02-2022,10,Yes,550,2,Tuesday,None
02-02-2022,1,No,100,16,Wednesday,None
02-02-2022,2,Yes,150,27,Wednesday,None
02-02-2022,3,No,200,29,Wednesday,None
02-02-2022,4,Yes,250,27,Wednesday,None
02-02-2022,5,No,300,29,Wednesday,None
02-02-2022,6,Yes,350,21,Wednesday,None
02-02-2022,7,No,400,24,Wednesday,None
02-02-2022,8,Yes,450,6,Wednesday,None
02-02-2022,9,No,500,3,Wednesday,None
02-02-2022,10,Yes,550,21,Wednesday,None
03-02-2022,1,No,100,19,Thursday,None
03-02-2022,2,Yes,150,18,Thursday,None
03-02-2022,3,No,200,25,Thursday,None
03-02-2022,4,Yes,250,15,Thursday,None
03-02-2022,5,No,300,27,Thursday,None
03-02-2022,6,Yes,350,14,Thursday,None
03-02-2022,7,No,400,27,Thursday,None
03-02-2022,8,Yes,450,8,Thursday,None
03-02-2022,9,No,500,6,Thursday,None
03-02-2022,10,Yes,550,19,Thursday,None
04-02-2022,1,No,100,22,Friday,None
04-02-2022,2,Yes,150,18,Friday,None
04-02-2022,3,No,200,7,Friday,None
04-02-2022,4,Yes,250,20,Friday,None
04-02-2022,5,No,300,17,Friday,None
04-02-2022,6,Yes,350,28,Friday,None
04-02-2022,7,No,400,13,Friday,None
04-02-2022,8,Yes,450,29,Friday,None
04-02-2022,9,No,500,6,Friday,None
04-02-2022,10,Yes,550,5,Friday,None
05-02-2022,1,No,100,15,Saturday,None
05-02-2022,2,Yes,150,20,Saturday,None
05-02-2022,3,No,200,4,Saturday,None
05-02-2022,4,Yes,250,6,Saturday,None
05-02-2022,5,No,300,17,Saturday,None
05-02-2022,6,Yes,350,11,Saturday,None
05-02-2022,7,No,400,19,Saturday,None
05-02-2022,8,Yes,450,5,Saturday,None
05-02-2022,9,No,500,7,Saturday,None
05-02-2022,10,Yes,550,3,Saturday,None
06-02-2022,1,No,100,11,Sunday,None
06-02-2022,2,Yes,150,5,Sunday,None
06-02-2022,3,No,200,29,Sunday,None
06-02-2022,4,Yes,250,29,Sunday,None
06-02-2022,5,No,300,13,Sunday,None
06-02-2022,6,Yes,350,2,Sunday,None
06-02-2022,7,No,400,10,Sunday,None
06-02-2022,8,Yes,450,22,Sunday,None
06-02-2022,9,No,500,20,Sunday,None
06-02-2022,10,Yes,550,3,Sunday,None
07-02-2022,1,No,100,11,Monday,None
07-02-2022,2,Yes,150,29,Monday,None
07-02-2022,3,No,200,21,Monday,None
07-02-2022,4,Yes,250,14,Monday,None
07-02-2022,5,No,300,4,Monday,None
07-02-2022,6,Yes,350,17,Monday,None
07-02-2022,7,No,400,4,Monday,None
07-02-2022,8,Yes,450,4,Monday,None
07-02-2022,9,No,500,15,Monday,None
07-02-2022,10,Yes,550,20,Monday,None
08-02-2022,1,No,100,16,Tuesday,None
08-02-2022,2,Yes,150,27,Tuesday,None
08-02-2022,3,No,200,26,Tuesday,None
08-02-2022,4,Yes,250,6,Tuesday,None
08-02-2022,5,No,300,6,Tuesday,None
08-02-2022,6,Yes,350,20,Tuesday,None
08-02-2022,7,No,400,23,Tuesday,None
08-02-2022,8,Yes,450,25,Tuesday,None
08-02-2022,9,No,500,24,Tuesday,None
08-02-2022,10,Yes,550,29,Tuesday,None
09-02-2022,1,No,100,17,Wednesday,None
09-02-2022,2,Yes,150,13,Wednesday,None
09-02-2022,3,No,200,2,Wednesday,None
09-02-2022,4,Yes,250,15,Wednesday,None
09-02-2022,5,No,300,14,Wednesday,None
09-02-2022,6,Yes,350,24,Wednesday,None
09-02-2022,7,No,400,20,Wednesday,None
09-02-2022,8,Yes,450,20,Wednesday,None
09-02-2022,9,No,500,21,Wednesday,None
09-02-2022,10,Yes,550,25,Wednesday,None
10-02-2022,1,No,100,21,Thursday,None
10-02-2022,2,Yes,150,21,Thursday,None
10-02-2022,3,No,200,21,Thursday,None
10-02-2022,4,Yes,250,12,Thursday,None
10-02-2022,5,No,300,2,Thursday,None
10-02-2022,6,Yes,350,7,Thursday,None
10-02-2022,7,No,400,8,Thursday,None
10-02-2022,8,Yes,450,1,Thursday,None
10-02-2022,9,No,500,14,Thursday,None
10-02-2022,10,Yes,550,17,Thursday,None
11-02-2022,1,No,100,23,Friday,None
11-02-2022,2,Yes,150,10,Friday,None
11-02-2022,3,No,200,29,Friday,None
11-02-2022,4,Yes,250,25,Friday,None
11-02-2022,5,No,300,17,Friday,None
11-02-2022,6,Yes,350,11,Friday,None
11-02-2022,7,No,400,26,Friday,None
11-02-2022,8,Yes,450,1,Friday,None
11-02-2022,9,No,500,26,Friday,None
11-02-2022,10,Yes,550,15,Friday,None
12-02-2022,1,No,100,19,Saturday,None
12-02-2022,2,Yes,150,29,Saturday,None
12-02-2022,3,No,200,14,Saturday,None
12-02-2022,4,Yes,250,3,Saturday,None
12-02-2022,5,No,300,3,Saturday,None
12-02-2022,6,Yes,350,0,Saturday,None
12-02-2022,7,No,400,19,Saturday,None
12-02-2022,8,Yes,450,17,Saturday,None
12-02-2022,9,No,500,6,Saturday,None
12-02-2022,10,Yes,550,17,Saturday,None
13-02-2022,1,No,100,10,Sunday,None
13-02-2022,2,Yes,150,23,Sunday,None
13-02-2022,3,No,200,12,Sunday,None
13-02-2022,4,Yes,250,4,Sunday,None
13-02-2022,5,No,300,29,Sunday,None
13-02-2022,6,Yes,350,1,Sunday,None
13-02-2022,7,No,400,10,Sunday,None
13-02-2022,8,Yes,450,13,Sunday,None
13-02-2022,9,No,500,26,Sunday,None
13-02-2022,10,Yes,550,17,Sunday,None
14-02-2022,1,No,100,29,Monday,None
14-02-2022,2,Yes,150,5,Monday,None
14-02-2022,3,No,200,21,Monday,None
14-02-2022,4,Yes,250,26,Monday,None
14-02-2022,5,No,300,16,Monday,None
14-02-2022,6,Yes,350,28,Monday,None
14-02-2022,7,No,400,20,Monday,None
14-02-2022,8,Yes,450,12,Monday,None
14-02-2022,9,No,500,25,Monday,None
14-02-2022,10,Yes,550,12,Monday,None
15-02-2022,1,No,100,17,Tuesday,None
15-02-2022,2,Yes,150,25,Tuesday,None
15-02-2022,3,No,200,4,Tuesday,None
15-02-2022,4,Yes,250,0,Tuesday,None
15-02-2022,5,No,300,7,Tuesday,None
15-02-2022,6,Yes,350,0,Tuesday,None
15-02-2022,7,No,400,4,Tuesday,None
15-02-2022,8,Yes,450,6,Tuesday,None
15-02-2022,9,No,500,14,Tuesday,None
15-02-2022,10,Yes,550,4,Tuesday,None
16-02-2022,1,No,100,14,Wednesday,None
16-02-2022,2,Yes,150,24,Wednesday,None
16-02-2022,3,No,200,6,Wednesday,None
16-02-2022,4,Yes,250,28,Wednesday,None
16-02-2022,5,No,300,22,Wednesday,None
16-02-2022,6,Yes,350,1,Wednesday,None
16-02-2022,7,No,400,6,Wednesday,None
16-02-2022,8,Yes,450,29,Wednesday,None
16-02-2022,9,No,500,6,Wednesday,None
16-02-2022,10,Yes,550,29,Wednesday,None
17-02-2022,1,No,100,16,Thursday,None
17-02-2022,2,Yes,150,14,Thursday,None
17-02-2022,3,No,200,2,Thursday,None
17-02-2022,4,Yes,250,14,Thursday,None
17-02-2022,5,No,300,23,Thursday,None
17-02-2022,6,Yes,350,13,Thursday,None
17-02-2022,7,No,400,1,Thursday,None
17-02-2022,8,Yes,450,1,Thursday,None
17-02-2022,9,No,500,22,Thursday,None
17-02-2022,10,Yes,550,7,Thursday,None
18-02-2022,1,No,100,10,Friday,None
18-02-2022,2,Yes,150,19,Friday,None
18-02-2022,3,No,200,19,Friday,None
18-02-2022,4,Yes,250,16,Friday,None
18-02-2022,5,No,300,18,Friday,None
18-02-2022,6,Yes,350,17,Friday,None
18-02-2022,7,No,400,17,Friday,None
18-02-2022,8,Yes,450,24,Friday,None
18-02-2022,9,No,500,0,Friday,None
18-02-2022,10,Yes,550,11,Friday,None
19-02-2022,1,No,100,24,Saturday,None
19-02-2022,2,Yes,150,14,Saturday,None
19-02-2022,3,No,200,15,Saturday,None
19-02-2022,4,Yes,250,4,Saturday,None
19-02-2022,5,No,300,28,Saturday,None
19-02-2022,6,Yes,350,5,Saturday,None
19-02-2022,7,No,400,1,Saturday,None
19-02-2022,8,Yes,450,8,Saturday,None
19-02-2022,9,No,500,12,Saturday,None
19-02-2022,10,Yes,550,15,Saturday,None
20-02-2022,1,No,100,21,Sunday,None
20-02-2022,2,Yes,150,28,Sunday,None
20-02-2022,3,No,200,18,Sunday,None
20-02-2022,4,Yes,250,12,Sunday,None
20-02-2022,5,No,300,0,Sunday,None
20-02-2022,6,Yes,350,15,Sunday,None
20-02-2022,7,No,400,20,Sunday,None
20-02-2022,8,Yes,450,5,Sunday,None
20-02-2022,9,No,500,4,Sunday,None
20-02-2022,10,Yes,550,24,Sunday,None
21-02-2022,1,No,100,24,Monday,None
21-02-2022,2,Yes,150,11,Monday,None
21-02-2022,3,No,200,7,Monday,None
21-02-2022,4,Yes,250,11,Monday,None
21-02-2022,5,No,300,9,Monday,None
21-02-2022,6,Yes,350,24,Monday,None
21-02-2022,7,No,400,15,Monday,None
21-02-2022,8,Yes,450,3,Monday,None
21-02-2022,9,No,500,21,Monday,None
21-02-2022,10,Yes,550,2,Monday,None
22-02-2022,1,No,100,2,Tuesday,None
22-02-2022,2,Yes,150,4,Tuesday,None
22-02-2022,3,No,200,2,Tuesday,None
22-02-2022,4,Yes,250,11,Tuesday,None
22-02-2022,5,No,300,1,Tuesday,None
22-02-2022,6,Yes,350,20,Tuesday,None
22-02-2022,7,No,400,20,Tuesday,None
22-02-2022,8,Yes,450,11,Tuesday,None
22-02-2022,9,No,500,17,Tuesday,None
22-02-2022,10,Yes,550,17,Tuesday,None
23-02-2022,1,No,100,2,Wednesday,None
23-02-2022,2,Yes,150,8,Wednesday,None
23-02-2022,3,No,200,25,Wednesday,None
23-02-2022,4,Yes,250,3,Wednesday,None
23-02-2022,5,No,300,10,Wednesday,None
23-02-2022,6,Yes,350,2,Wednesday,None
23-02-2022,7,No,400,18,Wednesday,None
23-02-2022,8,Yes,450,23,Wednesday,None
23-02-2022,9,No,500,10,Wednesday,None
23-02-2022,10,Yes,550,1,Wednesday,None
24-02-2022,1,No,100,16,Thursday,None
24-02-2022,2,Yes,150,19,Thursday,None
24-02-2022,3,No,200,15,Thursday,None
24-02-2022,4,Yes,250,20,Thursday,None
24-02-2022,5,No,300,13,Thursday,None
24-02-2022,6,Yes,350,0,Thursday,None
24-02-2022,7,No,400,17,Thursday,None
24-02-2022,8,Yes,450,26,Thursday,None
24-02-2022,9,No,500,9,Thursday,None
24-02-2022,10,Yes,550,28,Thursday,None
25-02-2022,1,No,100,18,Friday,None
25-02-2022,2,Yes,150,8,Friday,None
25-02-2022,3,No,200,18,Friday,None
25-02-2022,4,Yes,250,10,Friday,None
25-02-2022,5,No,300,15,Friday,None
25-02-2022,6,Yes,350,15,Friday,None
25-02-2022,7,No,400,4,Friday,None
25-02-2022,8,Yes,450,1,Friday,None
25-02-2022,9,No,500,10,Friday,None
25-02-2022,10,Yes,550,23,Friday,None
26-02-2022,1,No,100,4,Saturday,None
26-02-2022,2,Yes,150,9,Saturday,None
26-02-2022,3,No,200,0,Saturday,None
26-02-2022,4,Yes,250,11,Saturday,None
26-02-2022,5,No,300,15,Saturday,None
26-02-2022,6,Yes,350,22,Saturday,None
26-02-2022,7,No,400,6,Saturday,None
26-02-2022,8,Yes,450,1,Saturday,None
26-02-2022,9,No,500,28,Saturday,None
26-02-2022,10,Yes,550,18,Saturday,None
27-02-2022,1,No,100,29,Sunday,None
27-02-2022,2,Yes,150,13,Sunday,None
27-02-2022,3,No,200,7,Sunday,None
27-02-2022,4,Yes,250,16,Sunday,None
27-02-2022,5,No,300,18,Sunday,None
27-02-2022,6,Yes,350,1,Sunday,None
27-02-2022,7,No,400,10,Sunday,None
27-02-2022,8,Yes,450,24,Sunday,None
27-02-2022,9,No,500,5,Sunday,None
27-02-2022,10,Yes,550,26,Sunday,None
28-02-2022,1,No,100,6,Monday,None
28-02-2022,2,Yes,150,13,Monday,None
28-02-2022,3,No,200,14,Monday,None
28-02-2022,4,Yes,250,8,Monday,None
28-02-2022,5,No,300,26,Monday,None
28-02-2022,6,Yes,350,6,Monday,None
28-02-2022,7,No,400,11,Monday,None
28-02-2022,8,Yes,450,9,Monday,None
28-02-2022,9,No,500,20,Monday,None
28-02-2022,10,Yes,550,0,Monday,None
01-03-2022,1,No,100,19,Tuesday,None
01-03-2022,2,Yes,150,11,Tuesday,None
01-03-2022,3,No,200,22,Tuesday,None
01-03-2022,4,Yes,250,20,Tuesday,None
01-03-2022,5,No,300,13,Tuesday,None
01-03-2022,6,Yes,350,15,Tuesday,None
01-03-2022,7,No,400,21,Tuesday,None
01-03-2022,8,Yes,450,5,Tuesday,None
